SalePrice,GrLivArea,Neighborhood
208500,1710,CollgCr
181500,1262,Veenker
223500,1786,CollgCr
140000,1717,Crawfor
250000,2198,NoRidge
143000,1362,Mitchel
307000,1694,Somerst
200000,2090,NWAmes
129900,1774,OldTown
118000,1077,BrkSide
129500,1040,Sawyer
345000,2324,NridgHt
144000,912,Sawyer
279500,1494,CollgCr
157000,1253,NAmes
132000,854,BrkSide
149000,1004,NAmes
90000,1296,Sawyer
159000,1114,SawyerW
139000,1339,NAmes
325300,2376,NridgHt
139400,1108,IDOTRR
230000,1795,CollgCr
129900,1060,MeadowV
154000,1060,Sawyer
256300,1600,NridgHt
134800,900,NAmes
306000,1704,NridgHt
207500,1600,NAmes
68500,520,BrkSide
40000,1317,IDOTRR
149350,1228,Sawyer
179900,1234,CollgCr
165500,1700,NAmes
277500,1561,NridgHt
309000,2452,NridgHt
145000,1097,CollgCr
153000,1297,NAmes
109000,1057,NAmes
82000,1152,Edwards
160000,1324,NAmes
170000,1328,Timber
144000,884,SawyerW
130250,938,CollgCr
141000,1150,NAmes
319900,1752,NridgHt
239686,2149,Mitchel
249700,1656,Somerst
113000,1452,OldTown
127000,955,Sawyer
177000,1470,Gilbert
114500,1176,BrkSide
110000,816,IDOTRR
385000,1842,Veenker
130000,1360,NAmes
180500,1425,NAmes
172500,1739,Somerst
196500,1720,CollgCr
438780,2945,StoneBr
124900,780,CollgCr
158000,1158,SawyerW
101000,1111,IDOTRR
202500,1370,NridgHt
140000,1710,OldTown
219500,2034,CollgCr
317000,2473,NridgHt
180000,2207,NAmes
226000,1479,CollgCr
80000,747,OldTown
225000,2287,ClearCr
244000,2223,NAmes
129500,845,Mitchel
185000,1718,Gilbert
144900,1086,NAmes
107400,1605,OldTown
91000,988,MeadowV
135750,952,NAmes
127000,1285,BrkSide
136500,1768,Sawyer
110000,1230,OldTown
193500,2142,NAmes
153500,1337,Mitchel
245000,1563,Somerst
126500,1065,NAmes
168500,1474,Gilbert
260000,2417,NoRidge
174000,1560,Gilbert
164500,1224,Somerst
85000,1526,IDOTRR
123600,990,CollgCr
109900,1040,NAmes
98600,1235,NAmes
163500,964,Crawfor
133900,2291,OldTown
204750,1786,CollgCr
185000,1470,Gilbert
214000,1588,CollgCr
94750,960,Edwards
83000,835,Edwards
128950,1225,NAmes
205000,1610,NWAmes
178000,1732,SawyerW
118964,1535,SawyerW
198900,1226,CollgCr
169500,1818,IDOTRR
250000,1992,Somerst
100000,1047,OldTown
115000,789,OldTown
115000,1517,IDOTRR
190000,1844,NWAmes
136900,1855,Edwards
180000,1430,Gilbert
383970,2696,CollgCr
217000,2259,Crawfor
259500,2320,Crawfor
176000,1458,Somerst
139000,1092,Sawyer
155000,1125,Edwards
320000,3222,SawyerW
163990,1456,CollgCr
180000,988,ClearCr
100000,1123,IDOTRR
136000,1080,NAmes
153900,1199,SawyerW
181000,1586,NWAmes
84500,754,IDOTRR
128000,958,NPkVill
87000,840,OldTown
155000,1348,NAmes
150000,1053,NAmes
226000,2157,NAmes
244000,2054,Gilbert
150750,1327,NAmes
220000,1296,Timber
180000,1721,Sawyer
174000,1682,NWAmes
143000,1214,NAmes
171000,1959,Mitchel
230000,1852,CollgCr
231500,1764,CollgCr
115000,864,NAmes
260000,1734,CollgCr
166000,1385,NAmes
204000,1501,CollgCr
125000,1728,Sawyer
130000,1709,Edwards
105000,875,BrkSide
222500,2035,Gilbert
141000,1080,SawyerW
115000,1344,BrkSide
122000,969,CollgCr
372402,1710,NridgHt
190000,1993,NWAmes
235000,1252,ClearCr
125000,1200,OldTown
